skill,Accounting and Finance,Administrative,"Construction, Manufacturing, and Skilled Labor",Education,"Engineering, Architecture, and Design","Food, Travel, and Entertainment",Health Care,Information Technology,Law,Management and Consulting,Non-profit,Retail,"Sales, Marketing, and Customer Service",Science and Research,Transportation
signal integrity,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signal processing,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
silverlight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation and modeling software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
site analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
site planning,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sitemaps,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
six sigma,0.0,4.0,6.0,0.0,6.0,0.0,1.0,12.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0
sketchup,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
skype,1.0,60.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0
smalltalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0
soap,2.0,11.0,0.0,0.0,3.0,3.0,1.0,56.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
social media,3.0,51.0,3.0,3.0,19.0,16.0,0.0,52.0,3.0,11.0,15.0,3.0,135.0,7.0,0.0
social network,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
social skills,1.0,2.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0
softphone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software configuration management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
software design,0.0,13.0,0.0,0.0,4.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
software development,6.0,70.0,1.0,1.0,44.0,0.0,0.0,407.0,1.0,20.0,0.0,1.0,16.0,8.0,0.0
software development process,0.0,3.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
software documentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
software libraries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software quality assurance,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software testing,0.0,1.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
solaris,0.0,5.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
soldering,0.0,2.0,16.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
solid modeling,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
solidworks,0.0,0.0,10.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
